District_Name,MSME_Registered_2021,MSME_Registered_2022,Manufacturing_Units,Services_Units,Trading_Units,Digital_Txn_Score,Utility_Bill_Compliance_Pct,Loan_Default_Rate_Pct,Urban_Rural_Ratio,Infrastructure_Index,Internet_Penetration_Pct,Govt_Scheme_Enrollments,Employment_Generated,Avg_Annual_Turnover_Lakhs
Agra,16536,16995,4355,8185,3336,72,87,1.52,3.38,50,26,1660,71980,132
Aligarh,1912,2060,777,716,231,94,64,32.74,1.22,38,30,7390,16753,157
Allahabad,6366,6590,2061,2167,818,41,79,18.04,1.82,80,86,7340,39280,321
Ambedkar Nagar,12582,13164,4629,5237,3090,42,84,19.34,2.5,73,38,3836,63071,577
Amroha,11079,12484,5387,6206,2383,76,92,24.25,2.34,58,42,5009,72353,349
Auraiya,7181,7465,2238,2600,756,27,40,21.94,1.88,93,22,4378,62707,312
Azamgarh,4334,5626,1868,2444,648,34,55,33.09,1.48,38,50,7445,33548,699
Baghpat,12421,15623,6266,7066,3117,63,78,33.1,0.63,58,22,6800,80360,689
Bahraich,9552,12563,3715,4365,1265,67,44,30.48,0.43,86,72,6197,83757,790
Ballia,14205,17223,4570,7675,2137,76,61,22.64,4.32,64,74,2248,80960,61
Balrampur,7992,9522,2932,3557,1735,55,68,28.23,3.84,32,64,4980,36938,451
Banda,2343,2885,814,1230,587,48,94,24.02,1.73,77,42,916,11956,210
Barabanki,1852,1969,858,840,389,41,42,20.49,4.31,39,55,8139,8152,271
Bareilly,3022,3633,1495,1479,485,56,51,5.37,3.11,91,78,5765,15474,60
Basti,5303,6511,2452,2070,1346,32,65,28.58,2.27,80,41,4744,27308,579
Bhadohi,5468,6251,2652,2919,847,75,55,28.9,2.32,58,77,5176,41909,627
Bijnor,5961,7620,3129,2774,1133,36,90,22.28,0.56,20,31,3619,33599,12
Budaun,7098,7596,2182,2562,1610,11,76,28.89,0.59,22,87,7439,39714,110
Bulandshahr,7568,9866,4227,3040,1947,26,61,23.15,2.79,81,47,449,78769,203
Chandauli,3856,3947,1412,1650,897,42,96,8.03,2.58,82,43,970,23168,781
Chitrakoot,1288,1389,571,604,275,12,68,34.5,1.11,44,27,4563,9497,9
Deoria,3345,4205,1804,1275,778,52,53,8.3,4.27,75,60,1277,18340,54
Etah,2328,3099,971,1247,353,57,67,13.83,3.56,52,49,8627,13826,663
Etawah,2312,2467,671,851,382,48,44,2.32,0.69,57,20,8780,9138,276
Faizabad,11492,12594,3722,5403,1760,51,86,22.02,4.2,25,83,8101,54716,377
Farrukhabad,4364,4756,1595,1592,649,35,88,12.44,4.39,77,61,5058,23270,643
Fatehpur,4720,5090,2105,2230,1251,59,69,23.29,4.48,63,39,6744,22319,113
Firozabad,7699,10038,4237,3787,1595,34,85,14.1,0.44,64,80,4919,39584,677
Gautam Buddha Nagar,13071,15702,3947,7652,3671,33,91,24.17,3.37,51,24,3014,64428,666
Ghaziabad,9185,11827,4164,3873,2302,22,44,12.58,2.55,64,70,3574,68642,664
Ghazipur,9477,9992,3332,3679,2190,69,51,9.86,3.24,80,44,1452,45280,127
Gonda,10501,11755,3460,3793,2061,16,55,17.87,4.37,66,19,7196,62552,794
Gorakhpur,9461,11453,3137,5554,2136,66,65,24.56,3.16,40,47,4873,68913,611
Hamirpur,7365,9633,3058,4580,1674,45,65,12.84,3.8,94,79,4730,66968,65
Hapur,9392,11433,5014,4019,1478,54,87,32.85,3.93,55,32,7081,42262,353
Hardoi,10075,12216,3843,5277,2545,29,60,2.33,3.81,38,63,7149,91583,748
Hathras,3498,3812,1348,1766,541,74,78,15.21,2.03,39,25,6441,25309,481
Jalaun,15231,16987,6635,6982,1760,17,75,33.9,1.16,76,40,8217,66398,124
Jaunpur,12790,13406,4326,5441,2638,25,72,19.63,1.91,37,77,7141,105476,798
Jhansi,8093,9426,4188,3283,1193,23,69,15.4,4.04,66,73,7202,76391,134
Kannauj,12238,15741,6965,5015,3794,85,76,20.33,0.83,68,41,1531,59900,400
Kanpur Dehat,3977,4352,1307,2086,1057,24,62,20.58,2.41,33,63,4461,21256,648
Kanpur Nagar,2576,2785,973,1337,660,75,97,25.88,1.2,34,47,7848,20973,65
Kasganj,4521,5143,1595,2194,799,41,49,5.34,2.7,50,15,5315,37241,641
Kaushambi,2059,2221,681,816,227,72,93,9.5,3.91,20,35,4837,9822,520
Kheri,11099,12853,3308,4753,3075,60,44,20.74,3.99,73,69,5054,58439,758
Kushinagar,10447,12005,4464,5344,1971,34,75,30.48,1.22,22,20,3377,64255,809
Lalitpur,12400,14617,5123,7007,3581,67,73,20.1,4.1,35,83,7930,86570,103
Lucknow,6945,9189,2391,4386,2247,94,91,9.11,2.75,93,19,2380,60567,815
Maharajganj,8439,10892,3330,4966,2482,71,70,24.11,1.71,94,17,5092,58213,125
